symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate,Hawkes mu,Hawkes alpha,Hawkes beta,Hawkes score,Trade rate,Avg trade size,Std trade size,Total vol,Sqrt law cost,Quote regression R2,Quote regression coeff,Avg quote size,Std quote size,Instant cost,Avg spread,Std spread,ACFTest,OFI R2,Perm cost,Ratio (Instant/Sqrt Cost),Ratio (Instant/Perm Cost),Ratio (TradeSz/QuoteSz)
CONN,NASDAQ,0.01,4.51,22.191,540545,11995234,0.7187,0.9433,94,2019-07-01,2019-11-01,0.0044,0.0841,0.371,15.773,0.0057,118.1667,71.5194,2127,144.8391,39.7004,0.0002,114.6639,80.1361,28.7295,0.0934,0.0562,0111111111,26.6339,0.5839,0.1984,49.2035,1.0305
CORE,NASDAQ,0.01,3.01,33.1887,253419,8410647,0.6885,0.9949,99,2019-07-01,2019-11-01,0.0058,0.1304,0.371,49.0174,0.0089,82.9286,80.1681,2322,92.7745,43.6489,0.0002,144.2788,109.3485,30.6668,0.0737,0.056,0111111111,28.0341,-1.6464,0.3306,-18.6266,0.5748
CORT,NASDAQ,0.01,7.81,12.8051,657705,8421978,0.2811,0.4179,42,2019-07-01,2019-11-01,0.0145,0.0835,0.371,17.1634,0.0187,122.0794,118.4784,7691,98.1732,30.6739,0,218.0414,325.7593,11.1103,0.0259,0.011,0111111111,89.7376,13.6875,0.1132,0.8117,0.5599
CREE,NASDAQ,0.01,1.91,52.3672,1616579,84655716,1.6713,1.9499,195,2019-07-01,2019-11-01,0.0727,0.1859,0.371,125.4757,0.1457,119.2461,138.4435,61054,142.7283,17.0829,0.0001,143.8665,153.2713,144.5662,0.0595,0.0345,0111111111,23.0267,59.6074,1.0129,2.4253,0.8289
CRMT,NASDAQ,0.01,1.13,88.6626,94191,8351219,1.6381,2.6988,270,2019-07-01,2019-11-01,0.0071,0,0.7364,0.0071,0.0071,45.8182,36.9295,504,82.6257,59.7482,0.0024,64.2368,44.112,25.1706,0.5366,0.3075,0111111111,60.9604,-0.7733,0.3046,-32.5517,0.7133
CRON,NASDAQ,0.01,8.61,11.618,4700672,54612407,0.4009,0.6348,63,2019-07-01,2019-11-01,0.081,0.04,0.3088,1.3606,0.0931,166.2455,174.4655,55526,154.3191,29.7886,0,577.6635,1146.3305,33.9012,0.0134,0.0053,0111111111,66.8297,58.4883,0.2197,0.5796,0.2878
CROX,NASDAQ,0.01,3.8,26.3116,1652651,43483892,0.8775,0.9447,94,2019-07-01,2019-11-01,0.0307,0.2143,0.7828,17.2125,0.0422,219.4967,447.8499,33144,149.1471,8.9385,0,320.6988,396.3058,6.6489,0.0301,0.0218,0111111111,54.6636,29.8605,0.0446,0.2227,0.6844
CRSP,NASDAQ,0.01,2.18,45.788,514150,23541900,1.5067,2.0271,203,2019-07-01,2019-11-01,0.0128,0,0.4458,0.0128,0.0128,70.7941,56.3428,2407,147.1601,45.2273,0.0003,119.3258,109.3471,41.8096,0.1384,0.0919,0111111111,14.4787,4.835,0.2841,8.6472,0.5933
CRUS,NASDAQ,0.01,1.91,52.438,695267,36458411,1.6527,1.4253,143,2019-07-01,2019-11-01,0.025,0.0829,0.371,17.062,0.0322,135.4348,149.246,15575,140.9493,37.3166,0.0003,86.5459,73.8956,151.3205,0.0792,0.0532,0111111111,1.7336,1.0141,1.0736,149.2193,1.5649
CSGS,NASDAQ,0.01,1.95,51.2843,214807,11016227,0.9399,1.3398,134,2019-07-01,2019-11-01,0.0035,0.4753,0.9878,88.0577,0.0068,123.6667,62.0931,1855,81.9619,52.196,0.0001,67.7374,75.2532,13.0936,0.0841,0.0592,0111111111,40.7669,-1.3158,0.1598,-9.9508,1.8257
CSII,NASDAQ,0.01,2.13,46.9277,293809,13787781,1.543,1.7216,172,2019-07-01,2019-11-01,0.0075,0.234,0.371,175.5487,0.0203,66.4902,72.8984,3391,147.0455,29.1895,0.0002,130.3487,121.4519,32.1448,0.1138,0.0662,0111111111,24.7157,-1.8295,0.2186,-17.5702,0.5101
CSIQ,NASDAQ,0.01,4.81,20.7722,679536,14115458,0.5799,0.779,78,2019-07-01,2019-11-01,0.0125,0.0813,0.371,16.1233,0.016,135.0536,82.0647,7563,124.8492,29.9891,0,209.2637,234.4293,25.1124,0.0518,0.0308,0111111111,8.7222,3.7086,0.2011,6.7714,0.6454
CSOD,NASDAQ,0.01,1.78,56.0416,478721,26828291,0.9,1.3937,139,2019-07-01,2019-11-01,0.0118,0.0565,0.371,7.1456,0.0139,70.0851,60.2568,3294,71.8203,23.355,0.0003,120.5474,73.8517,32.46,0.0911,0.0586,0111111111,0.0816,-0.0847,0.452,-383.3781,0.5814
CTRE,NASDAQ,0.01,4.25,23.5497,733441,17272316,0.2899,0.494,49,2019-07-01,2019-11-01,0.0128,0.0868,0.371,18.729,0.0167,115.4912,65.2273,6583,55.0526,23.6501,0,228.8556,179.9006,6.3985,0.0337,0.0138,0111111111,83.487,13.0898,0.1162,0.4888,0.5046
CVBF,NASDAQ,0.01,4.8,20.8457,716506,14936069,0.3083,0.4028,40,2019-07-01,2019-11-01,0.0081,0.1033,0.371,24.5769,0.0112,132.2564,100.1019,5158,66.1412,13.0314,0,315.7723,601.3582,1.9216,0.022,0.0117,0111111111,59.1247,6.3089,0.0291,0.3046,0.4188
CVET,NASDAQ,0.01,6.15,16.2611,1922864,31267884,1.1437,0.7905,79,2019-07-01,2019-11-01,0.0193,0.3807,0.7828,76.6317,0.0375,136.0373,221.6678,18229,314.541,21.5575,0,348.6658,362.5257,37.4861,0.0172,0.0086,0111111111,82.106,36.0444,0.1192,1.04,0.3902
CVGW,NASDAQ,0.01,1.09,91.6276,155615,14258629,1.417,2.318,232,2019-07-01,2019-11-01,0.0052,0.2463,0.9878,16.5486,0.0069,44.5556,46.537,802,69.1606,43.4771,0.0018,82.5833,51.7916,31.0847,0.4448,0.2553,0111111111,0.4578,-0.076,0.4495,-408.8868,0.5395
CVLT,NASDAQ,0.01,2.18,45.8152,469026,21488520,0.9213,1.1,110,2019-07-01,2019-11-01,0.0193,0.1051,0.9878,2.6291,0.0216,63.3378,73.1785,4687,89.9304,43.3494,0.0002,99.6049,81.638,44.232,0.109,0.0689,0111111111,13.3514,8.5155,0.4918,5.1943,0.6359
CWST,NASDAQ,0.01,2.31,43.2428,304531,13168773,0.8468,1.289,129,2019-07-01,2019-11-01,0.0059,0.1901,0.371,140.292,0.0121,52.0238,63.7153,2185,87.5754,20.6493,0.0003,135.9024,109.4827,20.9095,0.0734,0.0527,0111111111,2.2767,1.1081,0.2388,18.8699,0.3828
CYRX,NASDAQ,0.01,5.39,18.5699,571173,10606625,0.6267,0.9551,96,2019-07-01,2019-11-01,0.012,0.163,0.4682,61.6679,0.0184,56.4688,65.1203,3614,150.9264,47.6076,0.0001,179.6667,120.5389,40.2907,0.0584,0.0389,0111111111,17.7025,-8.5024,0.267,-4.7388,0.3143
DBX,NASDAQ,0.01,4.82,20.751,3483690,72290051,0.4734,0.5937,59,2019-07-01,2019-11-01,0.0267,0.0244,0.371,1.2473,0.0285,190.0693,137.0733,19197,102.0244,50.3033,0,378.7698,289.5624,22.4204,0.0161,0.0077,0111111111,74.0206,12.2831,0.2198,1.8253,0.5018
DCPH,NASDAQ,0.01,3.2,31.2077,682800,21308618,1.9757,1.6144,161,2019-07-01,2019-11-01,0.0115,0.4168,0.9878,64.1477,0.0199,82.5758,78.597,5450,283.1224,58.177,0.0003,103,95.5537,96.7874,0.0865,0.0526,0111111111,0.3823,-1.6099,0.3419,-60.1205,0.8017
DDOG,NASDAQ,0.01,2.97,33.6813,2591284,87277814,1.7146,2.534,253,2019-07-01,2019-11-01,0.0191,0.032,0.371,2.1647,0.0209,264.2698,261.2773,16649,227.6612,17.1026,0,417.3457,755.4874,36.2105,0.0884,0.0632,0111111111,20.896,17.7728,0.1591,2.0374,0.6332
DENN,NASDAQ,0.01,4.49,22.2935,455113,10146062,0.2828,0.4522,45,2019-07-01,2019-11-01,0.0112,0.0728,0.371,12.5515,0.0139,86.0408,65.9477,4216,56.7304,47.6549,0,181.5,123.5042,17.4118,0.0227,0.0193,0111111111,30.4342,6.9874,0.3069,2.4919,0.4741
DGRW,NASDAQ,0.01,2.25,44.4622,228099,10141783,0.4054,0.4188,42,2019-07-01,2019-11-01,0.0064,0.3233,0.6204,71.7312,0.0133,120.8095,134.2622,2537,40.7763,21.2079,0,679.9041,433.8171,0.1786,0.0192,0.0128,0111111111,47.441,0.0695,0.0044,2.5711,0.1777
DIOD,NASDAQ,0.01,2.52,39.6767,439727,17446916,0.9059,1.1978,120,2019-07-01,2019-11-01,0.0121,0.1077,0.371,30.2927,0.017,149.4912,144.5078,8521,102.108,26.4332,0.0001,146.6156,151.0534,57.7705,0.0631,0.0438,0111111111,4.8643,1.6136,0.5658,35.8027,1.0196
DISCK,NASDAQ,0.01,3.76,26.6052,2597367,69103469,0.4184,0.6558,66,2019-07-01,2019-11-01,0.094,0.0585,0.9878,0.8841,0.0999,129.8011,132.1442,46339,70.3299,64.768,0,557.6669,372.1213,28.6555,0.0136,0.0055,0111111111,75.4781,11.5189,0.4074,2.4877,0.2328
DISH,NASDAQ,0.01,2.83,35.2843,2456247,86666956,0.7745,1.0392,104,2019-07-01,2019-11-01,0.0476,0.1197,0.7828,4.6084,0.0562,116.2687,100.1315,23370,98.1646,25.5555,0,240.7397,174.1811,16.9685,0.0207,0.0116,0111111111,55.0019,15.2814,0.1729,1.1104,0.483
DNKN,NASDAQ,0.01,1.25,79.8127,587134,46860750,1.0427,1.4274,143,2019-07-01,2019-11-01,0.0158,0.0879,0.4916,4.0521,0.0193,88.8485,99.2464,5864,58.4255,30.8285,0.0002,127.7727,132.3138,21.2578,0.0716,0.0452,0111111111,71.9576,9.4479,0.3638,2.25,0.6954
DOMO,NASDAQ,0.01,4.56,21.9468,731222,16047983,1.185,1.1201,112,2019-07-01,2019-11-01,0.004,0.0016,0.2976,0.004,0.004,102.0909,83.1193,1123,241.4694,46.6561,0.0001,180.5521,127.7921,9.9744,0.0732,0.0491,0111111111,2.5441,-0.6901,0.0413,-14.4539,0.5654
DORM,NASDAQ,0.01,1.28,77.9745,191391,14923618,1.9881,2.3074,231,2019-07-01,2019-11-01,0.0028,0.2531,0.4682,198.9205,0.0062,51.2143,58.9857,717,114.0251,23.0858,0.0003,125.7015,101.3093,3.5579,0.2412,0.1635,0111111111,44.9832,-0.4053,0.0312,-8.778,0.4074
DOX,NASDAQ,0.01,1.55,64.655,562745,36384278,0.5496,0.8934,89,2019-07-01,2019-11-01,0.0161,0.1374,0.9878,4.3251,0.0187,147.5,144.8856,9735,38.0154,19.1489,0.0002,133.9167,96.3823,58.4477,0.0568,0.0426,0111111111,13.3336,2.49,1.5375,23.4734,1.1014
DOYU,NASDAQ,0.01,11.35,8.8129,2276397,20061659,0.3422,0.4661,47,2019-07-01,2019-11-01,0.007,0.033,0.371,2.2357,0.0077,221.16,490.4275,5529,173.6505,54.8895,0,414.7387,392.0511,11.0983,0.0166,0.0082,0111111111,54.3606,5.3782,0.0639,2.0636,0.5333
EBIX,NASDAQ,0.01,2.41,41.4636,304967,12645030,1.0643,1.5927,159,2019-07-01,2019-11-01,0.0072,0.1612,0.4682,59.1484,0.011,73.4706,63.5616,2498,114.7921,21.6613,0.0002,129.0556,172.433,23.7893,0.161,0.0835,0111111111,0.0001,0.0023,0.2072,10344.7376,0.5693
ECPG,NASDAQ,0.01,2.89,34.5527,309970,10710300,0.976,1.0687,107,2019-07-01,2019-11-01,0.0059,0,0.4857,0.0059,0.0059,109.6429,153.9868,1535,126.3231,33.9391,0.0002,135,118.1176,19.1217,0.1202,0.0702,0111111111,38.5675,-6.338,0.1514,-3.017,0.8122
EDIT,NASDAQ,0.01,4.22,23.7027,568751,13480934,0.6071,0.9748,97,2019-07-01,2019-11-01,0.008,0.0291,0.3896,0.4954,0.0087,77.9032,93.5243,2415,114.5453,33.5524,0.0001,106.239,119.8646,21.4373,0.069,0.0414,0111111111,0.5852,0.388,0.1872,55.2523,0.7333
EGBN,NASDAQ,0.01,2.3,43.4803,306284,13317320,1.6953,1.1948,119,2019-07-01,2019-11-01,0.0061,0,0.9292,0.0061,0.0061,42.1765,38.7135,717,174.3689,21.4093,0.0004,81.7042,64.8162,12.0366,0.1149,0.0801,0111111111,31.0108,-0.2485,0.069,-48.4428,0.5162
EHTH,NASDAQ,0.01,1.22,82.2471,745853,61344246,3.6048,4.3187,432,2019-07-01,2019-11-01,0.0165,0.1687,0.9878,7.3569,0.0198,106.2676,73.8968,7545,196.0088,29.6332,0.0003,135.5072,95.4573,56.2533,0.1834,0.0895,0111111111,26.1413,3.5666,0.287,15.7723,0.7842
ENSG,NASDAQ,0.01,2.12,47.0929,278149,13098843,1.0187,1.4741,147,2019-07-01,2019-11-01,0.0213,0.159,0.7828,8.6066,0.0268,79.0778,74.4178,7117,96.74,18.94,0.0002,106.3438,118.2744,69.358,0.1165,0.0955,0111111111,10.5192,-21.3202,0.717,-3.2532,0.7436
ENTA,NASDAQ,0.01,1.42,70.3577,191791,13493974,1.8453,2.5725,257,2019-07-01,2019-11-01,0.0171,0.1541,0.371,77.9227,0.0293,89.5789,126.8553,8510,117.2925,25.363,0.0003,168.215,202.4554,92.195,0.2641,0.179,0111111111,26.3606,8.1839,0.786,11.2654,0.5325
ENTG,NASDAQ,0.01,2.29,43.6826,1017506,44447308,0.7578,1.1185,112,2019-07-01,2019-11-01,0.0521,0.1773,0.9878,8.3295,0.0635,117.3438,105.5661,26285,77.582,24.6691,0.0001,135.7213,93.7162,127.8047,0.0478,0.0299,0111111111,6.8241,8.4971,1.6473,15.041,0.8646
EPAY,NASDAQ,0.01,2.42,41.3129,241957,9995945,0.6655,1.2205,122,2019-07-01,2019-11-01,0.0042,0.0705,0.371,11.1535,0.0052,59.0625,66.3913,945,72.0406,48.666,0.0004,83.8906,75.7409,17.1356,0.1425,0.0892,0111111111,0.9736,-0.0638,0.2379,-268.7649,0.704
ERI,NASDAQ,0.01,2.36,42.3315,1522579,64453053,0.966,1.4428,144,2019-07-01,2019-11-01,0.0311,0.0918,0.371,20.013,0.0414,111.9589,97.241,16346,102.0536,26.7587,0.0001,172.5996,180.6884,86.3169,0.069,0.0425,0111111111,38.5099,27.398,0.8458,3.1505,0.6487
ERIC,NASDAQ,0.01,11.74,8.5212,6534437,55681245,0.1734,0.1329,13,2019-07-01,2019-11-01,0.0285,0.0627,0.371,9.1352,0.0343,1590.7705,2197.6088,194074,91.0046,53.0452,0,52910.7256,60545.0535,4.1757,0.011,0.003,0111111111,87.7041,2.7438,0.0459,1.5219,0.0301
ESPR,NASDAQ,0.01,2.55,39.2705,388227,15245868,0.7888,1.4697,147,2019-07-01,2019-11-01,0.0104,0.0367,0.371,2.828,0.0115,67.9394,73.7473,2242,89.8288,57.3529,0.0002,104.9829,113.7445,28.6713,0.1345,0.0579,0111111111,54.4271,4.0973,0.3192,6.9976,0.6471
EUFN,NASDAQ,0.01,5.71,17.5264,1147438,20110457,0.1961,0.146,15,2019-07-01,2019-11-01,0.0152,0.1349,0.371,54.7903,0.0238,2077.7407,2400.1077,168297,50.038,24.0363,0,15291.4604,15738.2189,3.7546,0.0127,0.0045,0111111111,90.3027,3.3236,0.075,1.1297,0.1359
EVBG,NASDAQ,0.01,1.24,80.6238,537700,43351417,2.3468,3.1605,316,2019-07-01,2019-11-01,0.0252,0.2878,0.9878,25.1493,0.0355,89.3089,85.6709,10985,130.1751,20.2837,0.0002,133.2672,84.0602,79.6632,0.1242,0.0722,0111111111,36.5383,17.18,0.612,4.637,0.6701
EVOP,NASDAQ,0.01,3.44,29.0327,343186,9963616,0.4217,0.7968,80,2019-07-01,2019-11-01,0.012,0.0695,0.3088,4.2517,0.0154,58.3617,50.3073,2743,64.9578,15.8862,0.0001,145.1282,120.4375,11.2318,0.0466,0.0331,0111111111,2.1913,-0.9282,0.1729,-12.1005,0.4021
EWBC,NASDAQ,0.01,2.3,43.513,1034643,45020421,1.0593,1.2852,129,2019-07-01,2019-11-01,0.0045,0.4065,0.7828,90.7664,0.0094,105.8276,92.231,3069,108.8717,25.9476,0.0001,127.3779,131.8589,14.115,0.0804,0.0446,0111111111,0.0089,-0.0371,0.1296,-380.8911,0.8308
EXEL,NASDAQ,0.01,5.17,19.3242,2521391,48723864,0.4815,0.6856,69,2019-07-01,2019-11-01,0.0336,0.1123,0.7828,4.0085,0.0393,154.8043,177.0632,21363,111.432,58.5923,0,308.0397,197.6536,32.2608,0.0171,0.0082,0111111111,80.1707,22.452,0.2895,1.4369,0.5025
EXLS,NASDAQ,0.01,1.5,66.6194,125465,8358403,0.9518,1.5538,155,2019-07-01,2019-11-01,0.0066,0.1409,0.371,59.8945,0.0106,36.4062,48.6035,1165,63.894,53.2454,0.0018,105.1495,95.8045,61.4209,0.191,0.1498,0111111111,3.1952,-0.1294,0.9613,-474.6177,0.3462
EXPD,NASDAQ,0.01,1.37,73.2431,909600,66621924,1.1008,1.4236,142,2019-07-01,2019-11-01,0.0514,0.2825,0.9878,24.2045,0.0719,96.2908,84.1852,24169,67.2135,43.9343,0.0001,133.6297,102.1024,88.2134,0.066,0.0456,0111111111,95.3522,32.9144,1.3124,2.6801,0.7206
EXPO,NASDAQ,0.01,1.48,67.5736,259712,17549675,1.0928,1.4019,140,2019-07-01,2019-11-01,0.0089,0.2553,0.9878,17.837,0.012,86.3871,70.5374,2678,72.3234,18.9755,0.0005,77.4783,64.7222,38.8684,0.151,0.1074,0111111111,29.7412,2.7556,0.5374,14.1053,1.115
EYE,NASDAQ,0.01,3.61,27.6741,959313,26548124,0.7643,1.0756,108,2019-07-01,2019-11-01,0.0571,0.1441,0.371,65.7449,0.0933,65.3545,66.952,21567,123.5109,37.0287,0.0001,182.4006,173.6904,107.335,0.0329,0.0167,0111111111,59.9516,30.7649,0.869,3.4889,0.3583
FATE,NASDAQ,0.01,5.58,17.9292,732251,13128675,0.6578,1.0094,101,2019-07-01,2019-11-01,0.0077,0.2029,0.4682,108.6179,0.0135,89.8919,86.8972,3326,164.0771,26.9008,0,120.972,81.1655,15.8274,0.0708,0.0341,0111111111,0.1115,0.5592,0.0965,28.3017,0.7431
FEYE,NASDAQ,0.01,6.94,14.3991,3540684,50982663,0.2959,0.4146,41,2019-07-01,2019-11-01,0.0682,0.0967,0.9878,2.3152,0.0756,148.0632,122.5769,39829,91.9019,58.0153,0,805.2697,722.1477,28.818,0.013,0.0047,0111111111,66.5555,17.9692,0.3136,1.6037,0.1839
FFBC,NASDAQ,0.01,4.16,24.0553,345315,8306656,0.4079,0.6122,61,2019-07-01,2019-11-01,0.0063,0.1675,0.4916,17.8846,0.0096,86.9643,57.8165,2435,75.8329,52.4662,0.0001,138.9897,93.4189,25.8643,0.0653,0.0423,0111111111,43.9936,1.5573,0.3411,16.6086,0.6257
FFIN,NASDAQ,0.01,3.11,32.1048,387027,12425424,0.5202,0.7552,76,2019-07-01,2019-11-01,0.0153,0.079,0.7828,1.8827,0.017,74.1148,72.3135,4521,72.4628,43.95,0.0001,102.4595,78.6038,35.7243,0.05,0.0306,0111111111,2.5561,1.776,0.493,20.1145,0.7234
FGEN,NASDAQ,0.01,2.36,42.3994,533017,22599601,1.0735,1.6861,169,2019-07-01,2019-11-01,0.0119,0.1497,0.7828,7.4409,0.0147,109.8431,82.0228,5602,113.2289,26.1463,0.0002,156.7731,137.517,57.6945,0.1293,0.069,0111111111,42.6713,12.5545,0.5095,4.5955,0.7007
FHB,NASDAQ,0.01,3.81,26.2274,693966,18200924,0.3854,0.5066,51,2019-07-01,2019-11-01,0.0156,0.0754,0.8634,0.151,0.0171,111.8,90.8108,5590,65.7161,32.6795,0.0001,189.4585,149.7013,33.6849,0.0288,0.0187,0111111111,41.1943,3.8907,0.5126,8.6577,0.5901
FIVN,NASDAQ,0.01,1.79,55.9236,747277,41790420,1.735,2.189,219,2019-07-01,2019-11-01,0.021,0.2842,0.7828,34.3814,0.033,84.3458,75.4823,9025,138.7456,21.1439,0.0002,121.055,75.2841,50.5971,0.0986,0.0502,0111111111,13.4964,6.8635,0.3647,7.372,0.6968
FIZZ,NASDAQ,0.01,2.26,44.3403,456214,20228666,1.3384,1.8086,181,2019-07-01,2019-11-01,0.0135,0.0519,0.9878,0.6057,0.0143,139.44,126.2933,6972,134.9902,32.8385,0.0003,141.9231,106.984,108.4081,0.112,0.0518,0111111111,0.487,0.7691,0.8031,140.9488,0.9825
FLEX,NASDAQ,0.01,9.75,10.2541,4900469,50249899,0.2907,0.33,33,2019-07-01,2019-11-01,0.0611,0.0286,0.371,1.7714,0.0662,165.7393,179.8594,38783,126.7834,55.9955,0,1768.1609,1291.5427,17.6691,0.0121,0.0041,0111111111,83.5014,7.5943,0.1394,2.3266,0.0937
FLIR,NASDAQ,0.01,1.94,51.4779,757737,39006710,0.8421,1.0424,104,2019-07-01,2019-11-01,0.0156,0.0722,0.371,12.3712,0.0193,72.6667,68.7075,5014,73.1573,42.2889,0.0001,129.95,97.4142,24.871,0.0575,0.0312,0111111111,62.3868,6.3511,0.34,3.916,0.5592
FMBI,NASDAQ,0.01,5.04,19.8447,524490,10408347,0.3111,0.4533,45,2019-07-01,2019-11-01,0.0176,0.1107,0.371,33.4677,0.0251,100.4045,136.8586,8936,70.1085,44.4946,0,243.2628,181.4786,42.3804,0.0183,0.013,0111111111,34.7548,8.4862,0.6045,4.994,0.4127
FNKO,NASDAQ,0.01,4.55,21.9574,934573,20520793,0.7421,0.9665,97,2019-07-01,2019-11-01,0.0291,0.1061,0.4916,6.2432,0.0371,134.7121,127.1242,17782,151.146,36.6034,0,168.9208,154.4388,85.7261,0.0345,0.0221,0111111111,62.2457,19.9677,0.5672,4.2932,0.7975
FOLD,NASDAQ,0.01,9.88,10.1171,3640887,36835218,0.2833,0.4408,44,2019-07-01,2019-11-01,0.0677,0.2465,0.6204,34.8155,0.1123,171.611,495.8236,68816,125.2292,55.8561,0,766.5689,521.5172,95.8724,0.0117,0.0038,0111111111,85.1231,54.5245,0.7656,1.7583,0.2239
FOSL,NASDAQ,0.01,8.84,11.3116,1212410,13714297,0.3957,0.5556,56,2019-07-01,2019-11-01,0.0378,0.1181,0.7828,4.4457,0.0446,135.2516,128.6589,21505,156.4433,50.9582,0,295.339,248.1086,57.6673,0.0172,0.0087,0111111111,34.0046,25.2615,0.3686,2.2828,0.458
FOX,NASDAQ,0.01,2.97,33.6462,1377388,46343872,0.49,0.6981,70,2019-07-01,2019-11-01,0.0124,0.0545,0.3405,0.2077,0.0148,152.8367,113.0608,7489,65.1291,41.3818,0,275.6091,226.4467,3.563,0.0235,0.0112,0111111111,69.0575,3.3571,0.0547,1.0613,0.5545
FOXF,NASDAQ,0.01,1.41,71.0562,224671,15964268,1.4389,2.269,227,2019-07-01,2019-11-01,0.0151,0.3186,0.7828,45.2207,0.0254,84.1395,87.8028,7236,90.5615,31.7787,0.0005,144.4888,160.2195,109.2629,0.14,0.0993,0111111111,86.0435,12.8091,1.2065,8.5301,0.5823
FRAN,NASDAQ,0.01,10.89,9.1842,922372,8471249,1.2991,1.1728,117,2019-07-01,2019-11-01,0.0022,0,0.7098,0.0022,0.0022,333.4,215.6493,1667,632.5812,10.5085,0,747.6667,1045.1796,5.1146,0.1792,0.0612,0111111111,66.136,12.8564,0.0081,0.3978,0.4459
FRPT,NASDAQ,0.01,2.14,46.6767,386352,18033636,1.0737,1.6005,160,2019-07-01,2019-11-01,0.0066,0.1581,0.4682,56.3392,0.01,45.4,55.2274,1589,102.8721,29.0744,0.0003,109.8256,89.3035,14.8955,0.111,0.0709,0111111111,14.5014,-0.9192,0.1448,-16.2052,0.4134
FSCT,NASDAQ,0.01,2.84,35.1948,594465,20922077,1.808,1.3355,134,2019-07-01,2019-11-01,0.0078,0.3304,0.7828,47.515,0.0136,72.0667,73.1592,2162,229.7391,48.0411,0.0002,135.9417,132.0591,19.3966,0.1036,0.0616,0111111111,5.869,-1.0747,0.0844,-18.0477,0.5301
FSLR,NASDAQ,0.01,1.62,61.7551,1309551,80871453,1.3948,2.003,200,2019-07-01,2019-11-01,0.0503,0.2187,0.9878,13.2554,0.0646,118.7087,390.0823,27303,101.0076,12.4322,0,121.538,94.6196,46.5168,0.0601,0.0415,0111111111,0.8062,1.392,0.4605,33.4182,0.9767
FTCS,NASDAQ,0.01,1.76,56.8029,282798,16063747,0.5113,0.5366,54,2019-07-01,2019-11-01,0.0029,0.1763,0.371,106.5761,0.0054,328.5,339.4272,4599,40.255,15.5946,0,427.5658,406.8892,0.7817,0.0239,0.0103,0111111111,13.2555,0.3458,0.0194,2.2604,0.7683
FTDR,NASDAQ,0.01,2.06,48.6127,479059,23288351,1.1854,1.5101,151,2019-07-01,2019-11-01,0.0051,0.1557,0.3896,15.1359,0.0084,81.6364,62.7401,1796,109.0511,14.8914,0.0003,103.2273,94.5428,23.868,0.1337,0.0901,0111111111,0.9101,-0.6041,0.2189,-39.5082,0.7908
FULT,NASDAQ,0.01,6.15,16.2688,768530,12503061,0.2272,0.3224,32,2019-07-01,2019-11-01,0.0172,0.0253,0.371,1.3315,0.0185,150.7077,104.1778,9796,62.4551,35.5498,0,365.118,244.2308,14.4663,0.0151,0.008,0111111111,90.659,8.7719,0.2316,1.6492,0.4128
FWONK,NASDAQ,0.01,2.47,40.5037,660729,26761969,0.5856,0.9308,93,2019-07-01,2019-11-01,0.0147,0.0675,0.371,10.4531,0.018,72.8167,95.9315,4369,64.6579,27.363,0.0001,173.5362,114.0921,16.0758,0.0721,0.0371,0111111111,23.0253,7.0027,0.2486,2.2957,0.4196
FWRD,NASDAQ,0.01,1.61,62.1194,146502,9100616,1.0479,1.4757,148,2019-07-01,2019-11-01,0.002,0.1078,0.3243,3.0844,0.003,34.5,30.3191,345,75.441,17.9022,0.0004,66.9318,66.2781,3.5192,0.2025,0.1342,0111111111,18.2059,-0.1646,0.0466,-21.3761,0.5154
GBCI,NASDAQ,0.01,2.48,40.279,311194,12534583,0.5774,0.8367,84,2019-07-01,2019-11-01,0.0112,0.0205,0.371,0.8563,0.0119,134.439,134.1119,5512,64.1081,39.8476,0.0002,105.4434,85.5987,45.4441,0.0811,0.0455,0111111111,0.015,-0.0519,0.7089,-875.255,1.275
GBT,NASDAQ,0.01,1.96,51.0238,725647,37025267,1.2927,2.1398,214,2019-07-01,2019-11-01,0.01,0.1956,0.371,144.9066,0.0211,104.8448,115.202,6081,113.3026,37.3467,0.0002,125.8895,119.0723,38.1402,0.1529,0.1062,0111111111,31.8802,7.6767,0.3366,4.9683,0.8328
GDS,NASDAQ,0.01,2.47,40.5112,688355,27886087,0.9792,1.4837,148,2019-07-01,2019-11-01,0.0102,0.0685,0.7828,1.3821,0.0112,128.9231,88.497,5028,108.0964,40.3968,0.0001,223.4624,359.1419,12.7626,0.0954,0.0584,0111111111,27.4136,5.7211,0.1181,2.2308,0.5769
GGAL,NASDAQ,0.01,4.88,20.4767,2140072,43821612,2.4577,1.2178,122,2019-07-01,2019-11-01,0.032,0.1513,0.7828,7.618,0.0397,170.375,444.251,21808,536.7646,26.6392,0,503.3348,918.0727,17.3298,0.0262,0.0169,0111111111,26.69,12.2838,0.0323,1.4108,0.3385
GH,NASDAQ,0.01,1.22,81.9334,1126574,92304038,3.4294,4.2972,430,2019-07-01,2019-11-01,0.0173,0.0357,0.371,2.7166,0.0191,74.8955,91.2253,5018,187.1855,14.9606,0.0001,161.3838,180.3809,16.231,0.1863,0.0988,0111111111,1.1501,0.6849,0.0867,23.6999,0.4641
