symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate,Hawkes mu,Hawkes alpha,Hawkes beta,Hawkes score,Trade rate,Avg trade size,Std trade size,Total vol,Sqrt law cost,Quote regression R2,Quote regression coeff,Avg quote size,Std quote size,Instant cost,Avg spread,Std spread,ACFTest,OFI R2,Perm cost,Ratio (Instant/Sqrt Cost),Ratio (Instant/Perm Cost),Ratio (TradeSz/QuoteSz)
VNDA,NASDAQ,0.01,7.25,13.7907,665140,9172746,0.4867,0.5634,56,2019-07-01,2019-11-01,0.0213,0.0921,0.371,21.4572,0.0284,77.3814,84.1838,7506,157.8302,44.0786,0,271.0356,238.6692,25.7999,0.0272,0.0151,0111111111,16.0325,13.3527,0.1635,1.9322,0.2855
VNOM,NASDAQ,0.01,3.47,28.8522,333334,9617419,0.7405,0.9643,96,2019-07-01,2019-11-01,0.0096,0.0647,0.3896,2.2198,0.0115,87.4571,70.2418,3061,114.7787,41.1348,0.0001,258.2696,232.7198,22.3325,0.0927,0.0679,0111111111,26.6775,2.1483,0.1946,10.3952,0.3386
VNQI,NASDAQ,0.01,1.7,58.7987,405295,23830819,0.3855,0.3453,35,2019-07-01,2019-11-01,0.006,0.1947,0.9878,9.8145,0.0075,298.6667,242.0246,7168,29.3205,31.9231,0,204.8718,192.3173,11.7962,0.0256,0.0292,0111111111,27.2311,1.8179,0.4023,6.489,1.4578
VRNS,NASDAQ,0.01,1.52,65.8583,313476,20644996,1.4831,2.1721,217,2019-07-01,2019-11-01,0.0069,0.4561,0.9878,81.1527,0.0128,98.0312,99.9826,3137,100.7105,41.2164,0.0009,54.1651,44.9051,81.6529,0.1878,0.0875,0111111111,0.2791,-0.3154,0.8108,-258.8653,1.8099
VRNT,NASDAQ,0.01,2,49.8942,509563,25424238,1.0255,1.2057,121,2019-07-01,2019-11-01,0.0145,0.2597,0.9878,19.5527,0.0196,82.7353,85.0361,5626,91.918,36.0034,0.0002,147.0721,104.7114,58.6226,0.0659,0.0389,0111111111,0.1989,-0.7356,0.6378,-79.696,0.5625
VRRM,NASDAQ,0.01,7.16,13.972,930486,13000750,0.1988,0.3432,34,2019-07-01,2019-11-01,0.0146,0.1049,0.9878,2.6284,0.0164,126.76,127.9146,6338,63.6316,65.954,0,327.7937,247.8813,12.7249,0.0149,0.006,0111111111,82.3518,7.4104,0.2,1.7172,0.3867
VSAT,NASDAQ,0.01,1.29,77.2874,329463,25463339,1.0464,1.6853,169,2019-07-01,2019-11-01,0.0147,0.1904,0.9878,8.8456,0.0182,65.4074,76.8636,3532,60.5486,36.3894,0.0002,113.4671,85.6971,17.1984,0.0871,0.0468,0111111111,39.4712,2.5745,0.284,6.6802,0.5764
VTIP,NASDAQ,0.01,2.03,49.3444,640753,31617572,0.0694,0.0674,7,2019-07-01,2019-11-01,0.0084,0.0901,0.7828,2.4267,0.0095,423.5926,850.4358,11437,6.2898,40.1756,0,3137.7128,3109.9406,0.4784,0.0145,0.0059,0111111111,16.8815,0.3863,0.0761,1.2385,0.135
WAFD,NASDAQ,0.01,2.79,35.9034,397756,14280793,0.4361,0.7023,70,2019-07-01,2019-11-01,0.0049,0.1694,0.371,98.9664,0.0089,112.0333,98.3594,3361,54.3207,12.541,0,146.9217,286.1708,4.7909,0.0799,0.0539,0111111111,4.7942,-0.8707,0.0882,-5.5023,0.7625
WERN,NASDAQ,0.01,2.98,33.5157,635208,21289441,0.5658,0.8588,86,2019-07-01,2019-11-01,0.0225,0.1897,0.9878,9.3983,0.0278,159.7742,126.4595,14859,75.497,22.6751,0.0001,161.5077,132.0723,62.6711,0.0589,0.0331,0111111111,0.4978,-0.7487,0.8301,-83.7087,0.9893
WIFI,NASDAQ,0.01,7.76,12.8799,715843,9219986,0.4393,0.6471,65,2019-07-01,2019-11-01,0.0117,0.111,0.3896,9.312,0.0164,127.717,89.4409,6769,152.533,45.9278,0,285.9401,459.7447,21.4589,0.0184,0.0122,0111111111,28.3289,12.3932,0.1407,1.7315,0.4467
WING,NASDAQ,0.01,1.07,93.1619,444243,41386522,1.8448,2.6839,268,2019-07-01,2019-11-01,0.0137,0.1891,0.9878,9.2752,0.0169,97.4655,93.0573,5653,88.5576,39.9068,0.0004,89.8171,94.3019,45.1682,0.128,0.0629,0111111111,3.6253,-1.5366,0.51,-29.3957,1.0852
WMGI,NASDAQ,0.01,4.39,22.7798,2637160,60073977,0.7667,0.7378,74,2019-07-01,2019-11-01,0.0566,0.1856,0.6204,16.9758,0.0808,139.5018,87.0938,39758,150.5187,21.3909,0,238.3073,166.1997,107.9142,0.0191,0.0093,0111111111,0.3822,3.147,0.7169,34.2916,0.5854
WSFS,NASDAQ,0.01,2.36,42.4251,225274,9557272,0.6743,0.937,94,2019-07-01,2019-11-01,0.0039,0.0389,0.371,2.3503,0.0043,111.1429,89.4115,1556,71.0797,41.0781,0.0001,149.0098,169.2942,9.1647,0.0945,0.059,0111111111,14.8651,0.4303,0.1289,21.2991,0.7459
WTFC,NASDAQ,0.01,1.52,65.5747,458864,30089869,1.2563,1.5971,160,2019-07-01,2019-11-01,0.0148,0.3056,0.9878,25.5509,0.0215,77.1467,93.9134,5786,85.6785,44.8515,0.0004,74.5408,73.959,63.6103,0.1015,0.068,0111111111,3.5494,0.6386,0.7424,99.6064,1.035
WW,NASDAQ,0.01,3.29,30.4244,2156819,65619924,1.366,1.4778,148,2019-07-01,2019-11-01,0.0226,0.1024,0.371,27.8701,0.0312,96.9815,93.4653,10474,200.7907,26.1206,0.0001,174.3756,125.1377,50.7543,0.0543,0.0281,0111111111,73.1825,25.9906,0.2528,1.9528,0.5562
XLRN,NASDAQ,0.01,2.33,42.8948,259437,11128498,0.9917,1.5608,156,2019-07-01,2019-11-01,0.0059,0.0894,0.371,19.6774,0.0078,57.4074,64.6261,1550,103.3929,12.1566,0,125.5755,109.9163,0.7322,0.1557,0.1234,0111111111,48.3414,2.3819,0.0071,0.3074,0.4572
XNCR,NASDAQ,0.01,2.59,38.6096,358657,13847603,1.3358,1.5769,158,2019-07-01,2019-11-01,0.0082,0.1112,0.371,33.26,0.0117,78.6176,70.3123,2673,154.7252,53.0479,0.0003,92.3742,79.6772,49.5542,0.1033,0.0531,0111111111,33.7293,3.9394,0.3203,12.579,0.8511
XRAY,NASDAQ,0.01,1.86,53.7,1568748,84241768,0.6707,1.047,105,2019-07-01,2019-11-01,0.0624,0.081,0.371,16.2187,0.0798,102.0837,90.4792,21948,55.8559,18.5934,0,159.6569,110.7912,27.3386,0.0306,0.0193,0111111111,79.8812,18.4162,0.4894,1.4845,0.6394
YY,NASDAQ,0.01,1.67,59.7092,945434,56451108,1.314,1.9736,197,2019-07-01,2019-11-01,0.0257,0.1181,0.371,39.4078,0.0377,117.0692,97.7307,15219,98.4168,14.4563,0.0001,165.6773,137.2497,60.7405,0.0785,0.0478,0111111111,38.5832,18.1543,0.6172,3.3458,0.7066
ZGNX,NASDAQ,0.01,2.22,45.0703,439292,19799022,0.9417,1.4167,142,2019-07-01,2019-11-01,0.0084,0.1105,0.371,32.7723,0.012,111.3333,233.8456,4008,93.4409,46.3611,0.0002,106.1556,75.4815,53.2611,0.1284,0.0768,0111111111,0.5416,1.1994,0.57,44.4077,1.0488
ZUMZ,NASDAQ,0.01,3.59,27.8188,437219,12162908,0.774,1.0316,103,2019-07-01,2019-11-01,0.0156,0.0739,0.371,13.0415,0.0195,96.4328,104.6434,6461,124.4278,38.7453,0.0001,145.1867,97.6714,46.0771,0.0574,0.0368,0111111111,1.4687,-0.7696,0.3703,-59.868,0.6642
ZYNE,NASDAQ,0.01,9.68,10.3326,960647,9925981,0.544,0.7501,75,2019-07-01,2019-11-01,0.008,0,0.4977,0.008,0.008,207.52,270.6005,5188,235.453,38.1951,0,350.0105,564.9527,22.4115,0.0334,0.0137,0111111111,40.8383,11.2155,0.0952,1.9983,0.5929
